2023-01-09 21:10:15 INFO  WebdriverEvents:42 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=account/login
2023-01-09 21:10:18 INFO  WebdriverEvents:48 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=account/login
2023-01-09 21:10:18 INFO  CustomListener:18 - Test execution has started for : verifyClickOnAllLaptopsAndNotebook
2023-01-09 21:10:18 INFO  WebdriverEvents:89 - Finding elementBy.xpath: //span[contains(text(),'My Account')]
2023-01-09 21:10:18 INFO  WebdriverEvents:95 - Elelement FoundBy.xpath: //span[contains(text(),'My Account')]
2023-01-09 21:10:18 INFO  WebdriverEvents:101 - clicking on[[ChromeDriver: chrome on WINDOWS (220af696966bb43dc069c6de53661f37)] -> xpath: //span[contains(text(),'My Account')]]
2023-01-09 21:10:18 INFO  WebdriverEvents:107 - clicked on[[ChromeDriver: chrome on WINDOWS (220af696966bb43dc069c6de53661f37)] -> xpath: //span[contains(text(),'My Account')]]
2023-01-09 21:10:18 INFO  WebdriverEvents:89 - Finding elementBy.cssSelector: ul.dropdown-menu.dropdown-menu-right li:nth-of-type(2) a
2023-01-09 21:10:18 INFO  WebdriverEvents:95 - Elelement FoundBy.cssSelector: ul.dropdown-menu.dropdown-menu-right li:nth-of-type(2) a
2023-01-09 21:10:18 INFO  WebdriverEvents:101 - clicking on[[ChromeDriver: chrome on WINDOWS (220af696966bb43dc069c6de53661f37)] -> css selector: ul.dropdown-menu.dropdown-menu-right li:nth-of-type(2) a]
2023-01-09 21:10:18 INFO  WebdriverEvents:107 - clicked on[[ChromeDriver: chrome on WINDOWS (220af696966bb43dc069c6de53661f37)] -> css selector: ul.dropdown-menu.dropdown-menu-right li:nth-of-type(2) a]
2023-01-09 21:10:18 INFO  WebdriverEvents:89 - Finding elementBy.cssSelector: form div.form-group:first-of-type input
2023-01-09 21:10:18 INFO  WebdriverEvents:95 - Elelement FoundBy.cssSelector: form div.form-group:first-of-type input
2023-01-09 21:10:18 INFO  WebdriverEvents:89 - Finding elementBy.cssSelector: form div.form-group:last-of-type input
2023-01-09 21:10:18 INFO  WebdriverEvents:95 - Elelement FoundBy.cssSelector: form div.form-group:last-of-type input
2023-01-09 21:10:18 INFO  WebdriverEvents:89 - Finding elementBy.cssSelector: input[type='submit']
2023-01-09 21:10:19 INFO  WebdriverEvents:95 - Elelement FoundBy.cssSelector: input[type='submit']
2023-01-09 21:10:19 INFO  WebdriverEvents:89 - Finding elementBy.cssSelector: ul.nav.navbar-nav li.dropdown:nth-of-type(2) a.dropdown-toggle
2023-01-09 21:10:19 INFO  WebdriverEvents:95 - Elelement FoundBy.cssSelector: ul.nav.navbar-nav li.dropdown:nth-of-type(2) a.dropdown-toggle
2023-01-09 21:10:19 INFO  WebdriverEvents:101 - clicking on[[ChromeDriver: chrome on WINDOWS (220af696966bb43dc069c6de53661f37)] -> css selector: ul.nav.navbar-nav li.dropdown:nth-of-type(2) a.dropdown-toggle]
2023-01-09 21:10:19 INFO  WebdriverEvents:107 - clicked on[[ChromeDriver: chrome on WINDOWS (220af696966bb43dc069c6de53661f37)] -> css selector: ul.nav.navbar-nav li.dropdown:nth-of-type(2) a.dropdown-toggle]
2023-01-09 21:10:19 INFO  WebdriverEvents:89 - Finding elementBy.cssSelector: li.dropdown.open div.dropdown-menu a.see-all
2023-01-09 21:10:19 INFO  WebdriverEvents:95 - Elelement FoundBy.cssSelector: li.dropdown.open div.dropdown-menu a.see-all
2023-01-09 21:10:19 INFO  WebdriverEvents:101 - clicking on[[ChromeDriver: chrome on WINDOWS (220af696966bb43dc069c6de53661f37)] -> css selector: li.dropdown.open div.dropdown-menu a.see-all]
2023-01-09 21:10:20 INFO  WebdriverEvents:107 - clicked on[[ChromeDriver: chrome on WINDOWS (220af696966bb43dc069c6de53661f37)] -> css selector: li.dropdown.open div.dropdown-menu a.see-all]
2023-01-09 21:10:20 INFO  CustomListener:23 - Test execution has passed for : verifyClickOnAllLaptopsAndNotebook
2023-01-09 21:10:23 INFO  WebdriverEvents:42 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=account/login
2023-01-09 21:10:25 INFO  WebdriverEvents:48 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=account/login
2023-01-09 21:10:26 INFO  CustomListener:18 - Test execution has started for : verifyUserAbleToChangePhnNumber
2023-01-09 21:10:26 INFO  WebdriverEvents:89 - Finding elementBy.xpath: //span[contains(text(),'My Account')]
2023-01-09 21:10:26 INFO  WebdriverEvents:95 - Elelement FoundBy.xpath: //span[contains(text(),'My Account')]
2023-01-09 21:10:26 INFO  WebdriverEvents:101 - clicking on[[ChromeDriver: chrome on WINDOWS (cca3f6188bac939d4124ddc9a3015a41)] -> xpath: //span[contains(text(),'My Account')]]
2023-01-09 21:10:26 INFO  WebdriverEvents:107 - clicked on[[ChromeDriver: chrome on WINDOWS (cca3f6188bac939d4124ddc9a3015a41)] -> xpath: //span[contains(text(),'My Account')]]
